Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2013;9;6;99;32184211 84074853
2013;5;14;99;31825895 81578343
2014;9;8;99;28596067 80631752
2013;8;10;99;31431911 83376895
2013;4;7;99;30615518 83173421
2013;8;28;99;30573550 87075757
2014;3;25;99;34130591 83688613
2013;12;3;99;27493677 80576885
2013;6;29;99;30871122 80892061
2013;7;10;99;77
2013;3;23;99;77
2013;12;17;99;30780715 83519193
2014;2;29;99;29129094 81202581
2013;3;14;99;30389688 81977337
2013;10;6;99;77
2014;11;5;99;28007226 80986996
2014;11;27;99;32395392 88688213
2013;8;29;99;29189778 83132687
2013;8;26;99;77
2013;6;18;99;77
2013;6;3;99;77
2014;9;16;99;27435425 80255419
2014;5;19;99;31558533 81289090
2013;8;8;99;27195287 84121548
2014;6;4;99;30310139 81136185
2014;12;28;99;77
2013;5;23;99;30226665 83140163
2013;5;29;99;33206675 82554225
2013;7;14;99;30371249 86546787
2014;3;8;99;29622123 86436793
2014;1;7;99;77
2013;6;15;99;31188622 88685378
2014;12;27;99;27793051 79846907
2014;9;20;99;31216222 82608011
2014;12;26;99;77
2014;4;16;99;30060790 82814790
2013;7;16;99;29112363 82817679
2014;7;6;99;34537374 84122445
2014;2;28;99;30026639 83347766
2014;10;27;99;33077544 85562410
2013;3;11;99;32471139 89106179
2014;4;8;99;77
2014;1;28;99;27379066 82901360
2013;10;30;99;426009.585, 4580330.766
2013;9;21;99;77
2013;12;9;99;77
2014;8;28;99;30220866 83148757
2014;4;3;99;28888180 80902612
2014;3;26;99;33421763 88388803
2013;7;21;99;32104552 86472945
2014;10;24;99;30886685 84179893
2013;4;21;99;28972403 81934110
2014;6;11;99;31319314 88209684
2014;2;4;99;31305671 80947412
2014;3;26;99;77
2013;11;14;99;33306345 87906790
2014;10;10;20,05;31518049 82685629
2013;7;28;99;77
2013;10;20;99;30010964 83141787
2013;5;5;99;30406830 83143643
2014;3;15;99;77
2014;6;3;99;77
2013;7;20;99;31558654 84074560
2014;9;5;99;30307443 84197236
2013;4;20;99;30021894 86914569
2014;3;14;99;28446031 80450061
2014;6;31;99;28592590 82312503
2013;12;6;99;29660839 86468417
2013;1;2;99;28960547 80903599
2014;10;5;99;26524725 82264208
2014;1;26;99;30151068 82705099
2014;10;7;99;26754350 84586688
2014;9;29;99;77
2014;2;28;99;77
2014;11;28;99;29079275 82790314
2014;1;21;99;77
2014;9;15;99;27359735 81916197
2013;1;1;99;77
2013;7;1;99;29843062 83331133
2014;4;29;7,45;33096365 84795339
2013;4;18;99;29846422 88074357
2013;6;3;99;30289715 83447894
2014;7;8;99;26733048 80974709
2014;5;12;99;28365169 82088866
2014;5;22;99;31072727 83239833
2013;2;22;99;29872507 88283733
2013;7;10;99;33897222 88265851
2014;6;30;99;28428462 80441984
2013;3;28;99;33098873 83302746
2013;12;30;99;32886889 89346109
2014;10;4;99;29540225 83050458
2014;8;1;99;26944007 83148180
2013;1;28;99;27573771 84586237
2014;11;5;99;29495162 80946162
2013;5;21;99;29462075 81249805
2014;7;19;99;25122466 81774029
2014;7;3;99;32275472 88342016
2013;2;25;99;77
2014;9;4;99;77
2014;6;9;99;77
2013;9;9;99;31867277 86961372
2014;11;4;99;31435030 81187681
2013;6;23;99;30025808 88096793
2013;11;7;99;32158238 85940466
2013;12;26;99;29778811 86304433
2014;11;27;13,15;426759.193, 4580024.843
2013;3;24;99;29859977 82418814
2014;1;27;99;31256821 80790032
2013;4;28;99;26844938 81472777
2013;7;11;99;30439979 88054792
2013;3;29;99;28717422 83340829
2013;3;17;99;31128251 87110519
2013;7;16;99;77
2014;6;21;99;26321306 83513560
2013;12;8;99;32220791 83394608
2013;6;5;99;27358794 83143760
2013;1;12;99;29166034 86375038
2014;1;14;99;77
2013;7;16;99;77
2013;11;3;99;33973450 84655493
2014;6;7;99;33288709 88026182
2014;4;6;99;30564427 83485348
2013;10;13;99;29537663 83220386
2014;12;26;99;31886023 87409226
2013;3;19;99;32767761 85454952
2014;6;25;99;77
2014;8;12;99;29170165 82885424
2013;12;11;99;30005059 83508419
2014;12;3;99;28920326 83982743
2013;1;7;99;77
2014;12;31;99;31359152 88767366
2013;4;16;99;26854483 81265289
2013;11;9;99;30131909 81319279
2014;9;5;99;77
2014;5;5;99;28506768 84989098
2014;6;2;99;31453560 83799750
2013;10;27;99;27697909 82831357
2014;7;4;99;30907170 88508380
2014;9;11;99;77
2013;1;19;99;34343747 84283628
2014;12;2;99;28134551 81470240
2014;2;18;99;77
2013;1;27;99;28248418 79444482
2014;4;16;99;77
2013;10;31;99;29104987 80005239
2013;10;23;99;31451782 87367217
2014;6;7;99;77
2013;2;25;99;30263145 84938848
2014;8;25;99;31139980 80853888
2014;6;15;99;77
2014;5;18;99;29064477 82993161
2014;4;7;99;29863854 82990527
2014;10;26;99;29441585 82215415
2013;5;7;99;30904117 83820728
2014;11;20;99;33700805 85615651
2014;6;5;99;33386874 82997801
2014;2;26;99;29174105 83734220
2014;1;15;99;77
2014;10;1;99;30298912 83068882
2013;10;15;99;30059516 82040331
2013;7;12;99;28289321 80286895
2013;6;11;99;33582866 83044010
2013;9;11;99;29849801 88102099
2014;4;29;99;30269724 85335618
2013;8;19;99;77
2014;10;13;99;30285789 80974332
2013;5;18;99;425355.889, 4577879.407
2013;2;10;99;77
2013;9;5;99;31208307 88439674
2013;2;11;99;77
2013;10;4;99;30274378 80917865
2014;3;13;99;28184779 77823689
2014;1;18;99;30252175 84320001
2013;11;5;99;77
2014;3;31;99;77
2014;3;7;99;24984996 84993963
2013;1;24;99;77
2013;7;14;99;77
2014;4;15;99;28120306 79612208
2013;6;13;99;28690494 81260986
2013;7;20;99;29677106 84937751
2013;7;17;99;30389358 81059462
2013;6;25;99;31003194 82495245
2013;3;7;99;77
2013;4;22;99;77
2013;10;13;99;77
2014;3;24;99;77
2014;1;22;99;29670125 78574350
2014;8;20;99;30219331 82772848
2014;1;30;99;77
2014;7;25;99;29805185 85575478
2014;12;15;99;25966314 83634554
2013;7;31;99;427119.236, 4579103.996
2013;11;2;99;26917679 83072510
2013;4;27;99;27372019 82921074
2013;4;17;99;30297369 82272285
2013;12;9;99;30949612 82433253
2014;4;24;99;32097940 83716083
2013;9;10;99;77
2014;1;20;99;31492388 81253059
2013;4;19;99;33279410 84984281
2013;7;28;99;77
2014;1;1;99;32142159 85803897
2013;10;15;99;33036804 86780391
2013;10;30;13;33823861 87789516
2014;3;14;99;31423607 81911109
2014;11;24;99;30330426 84196535
2014;2;5;99;29983100 83364799
